,acc_date,acc_id_seed_donor_number,acc_id_seq_num,collection_number,cultural_type,donor_country,fao_in_trust,multilateral_system,pedigree,previous_name,source_country,special_traits,species_name,status,strain_id,variety_name
0,9/7/1989,TOS5262,1,IB 48,,NIGERIA,Yes,Yes,,,LIBERIA,,O. sativa,Landrace/Traditional cultivar,80006,
1,9/7/1989,TOS5223,1,IB 7,,NIGERIA,Yes,Yes,,,LIBERIA,,O. sativa,Landrace/Traditional cultivar,80018,
2,7/27/1990,MRT 196,1,,,UNITED KINGDOM,Yes,Yes,,,MAURITANIA,,O. sativa,,79800,
3,9/7/1989,TOS5278,1,IB 64,,NIGERIA,Yes,Yes,,,IVORY COAST,,O. sativa,Landrace/Traditional cultivar,80017,
4,9/7/1989,TOS5222,1,IB 6,,NIGERIA,Yes,Yes,,,LIBERIA,,O. sativa,Landrace/Traditional cultivar,80015,
5,9/7/1989,TOS5273,1,IB 59,,NIGERIA,Yes,Yes,,,IVORY COAST,,O. sativa,Landrace/Traditional cultivar,80014,
6,9/7/1989,TOS5270,1,IB 56,,NIGERIA,Yes,Yes,,,IVORY COAST,,O. sativa,Landrace/Traditional cultivar,80013,
7,6/6/1991,LAOS ACC. 0042,1,,Upland,LAOS,Yes,Yes,THOUA/HOM,,LAOS,Glutinous,O. sativa,Released/Improved/advanced cultivar,80307,
8,9/7/1989,TOS5269,1,IB 55,,NIGERIA,Yes,Yes,,,IVORY COAST,,O. sativa,Landrace/Traditional cultivar,80012,
9,9/7/1989,TOS5268,1,IB 54,,NIGERIA,Yes,Yes,,,IVORY COAST,,O. sativa,Landrace/Traditional cultivar,80011,
10,9/7/1989,TOS5267,1,IB 53,,NIGERIA,Yes,Yes,,,IVORY COAST,,O. sativa,Landrace/Traditional cultivar,80010,
11,9/7/1989,TOS9791,1,,,NIGERIA,Yes,Yes,,,UNKNOWN,,O. sativa,,80138,
12,9/7/1989,TOS5221,1,IB 5,,NIGERIA,Yes,Yes,,,LIBERIA,,O. sativa,Landrace/Traditional cultivar,80007,
13,6/6/1991,LAOS ACC. 0166,1,,Upland,LAOS,Yes,Yes,SALI/SAME DEUAN,,LAOS,Glutinous,O. sativa,Released/Improved/advanced cultivar,80301,
14,9/7/1989,TOS5258,1,IB 43,,NIGERIA,Yes,Yes,,,SIERRA LEONE,,O. sativa,Landrace/Traditional cultivar,80005,
15,9/7/1989,TOS5245,1,IB 30,,NIGERIA,Yes,Yes,,,IVORY COAST,,O. sativa,Landrace/Traditional cultivar,80003,
16,9/7/1989,TOS5239,1,IB 22,,NIGERIA,Yes,Yes,,,LIBERIA,,O. sativa,Landrace/Traditional cultivar,80002,
17,9/7/1989,TOS5238,1,IB 21,,NIGERIA,Yes,Yes,,,LIBERIA,,O. sativa,Landrace/Traditional cultivar,80001,
18,9/7/1989,TOS5218,1,IB 2,,NIGERIA,Yes,Yes,,,LIBERIA,,O. sativa,Landrace/Traditional cultivar,80000,
19,9/7/1989,TOS5234,1,IB 17,,NIGERIA,Yes,Yes,,,LIBERIA,,O. sativa,Landrace/Traditional cultivar,79999,
20,9/7/1989,TOS5217,1,IB 1,,NIGERIA,Yes,Yes,,,LIBERIA,,O. sativa,Landrace/Traditional cultivar,79998,
21,6/6/1991,LAOS ACC. 0034,1,,Upland,LAOS,Yes,Yes,KHAO/NGO,,LAOS,Glutinous,O. sativa,Released/Improved/advanced cultivar,80280,
22,9/7/1989,TOS9719,1,,,NIGERIA,Yes,Yes,43 KHAO LO/IR8,,UNKNOWN,,O. sativa,Breeding and inbred line,79838,
23,9/7/1989,TOS7086,1,A X BG7.3,,NIGERIA,Yes,Yes,A/BG7.3,,SIERRA LEONE,,O. sativa,Landrace/Traditional cultivar,79840,
24,9/7/1989,TOS5264,1,IB 50,,NIGERIA,Yes,Yes,,,IVORY COAST,,O. sativa,Landrace/Traditional cultivar,80008,
25,6/6/1991,LAOS ACC. 0013,1,,Upland,LAOS,Yes,Yes,DENG/BLED,,LAOS,Glutinous,O. sativa,Released/Improved/advanced cultivar,78778,
26,9/7/1989,TOS9796,1,,,NIGERIA,Yes,Yes,,,UNKNOWN,,O. sativa,,80143,
27,1/2/1989,AC 941,1,,,SRI LANKA,Yes,Yes,LOCAL 2 1/2,,SRI LANKA,,O. sativa,Landrace/Traditional cultivar,78162,
28,6/6/1991,LAOS ACC. 0036,1,,Upland,LAOS,Yes,Yes,NQO PAN TALAB/DENG,,LAOS,Glutinous,O. sativa,Released/Improved/advanced cultivar,80294,
29,9/7/1989,TOS9795,1,,,NIGERIA,Yes,Yes,,,UNKNOWN,,O. sativa,,80142,
30,1/10/1989,CMR 86-027,1,C101,,UNITED KINGDOM,Yes,Yes,,,CAMEROON,,O. sativa,,78290,
31,12/26/1988,G.S. 18257,1,086/88/TNE39; SSK-88-507,,THAILAND,Yes,Yes,,,THAILAND,,O. sativa,Landrace/Traditional cultivar,78235,
32,9/7/1989,TOS9792,1,,,NIGERIA,Yes,Yes,,,UNKNOWN,,O. sativa,,80139,
33,9/7/1989,TOS5272,1,IB 58,,NIGERIA,Yes,Yes,,,IVORY COAST,,O. sativa,Landrace/Traditional cultivar,78670,
34,9/7/1989,TOS9794,1,,,NIGERIA,Yes,Yes,,,UNKNOWN,,O. sativa,,80141,
35,6/6/1991,LAOS ACC. 0041,1,,Upland,LAOS,Yes,Yes,DENG/DOU,,LAOS,Glutinous,O. sativa,Released/Improved/advanced cultivar,80254,
36,6/6/1991,LAOS ACC. 0010,1,,Upland,LAOS,Yes,Yes,JAO LAO SOUNG/KHOD,,LAOS,,O. sativa,Released/Improved/advanced cultivar,78800,
37,6/6/1991,LAOS ACC. 0122,1,,Upland,LAOS,Yes,Yes,JAO MAD/JAO NOI,,LAOS,,O. sativa,Released/Improved/advanced cultivar,78802,
38,9/7/1989,TOS5274,1,IB 60,,NIGERIA,Yes,Yes,,,IVORY COAST,,O. sativa,Landrace/Traditional cultivar,80016,
39,8/22/1991,ACC. 0341,1,,Rainfed-lowland,LAOS,Yes,Yes,I NGONG/I LAK,,LAOS,,O. sativa,,78858,
40,9/7/1989,TOS9793,1,,,NIGERIA,Yes,Yes,,,UNKNOWN,,O. sativa,,80140,
41,9/7/1989,TOS9821,1,,,NIGERIA,Yes,Yes,,,UNKNOWN,,O. sativa,,80144,
