,DNA_UNIQUE_ID,Variety Group (Tree)1,days_to_mat,source_country,rice_blast,fast,stdardized_mat,z_score
0,IRIS 313-9783,Japonica,110.0,AFGHANISTAN,,False,-0.910444590824,-0.899118679328
1,IRIS 313-10509,Indica,164.0,AFRICA,Susceptible,False,1.32937353694,1.31390286531
2,IRIS 313-9778,Indica,119.0,ARGENTINA,,False,-0.537141569529,-0.530281755221
3,IRIS 313-9980,Japonica,110.0,ARGENTINA,,False,-0.910444590824,-0.899118679328
4,IRIS 313-9795,Indica,135.0,AUSTRALIA,Susceptible,False,0.126508246105,0.125428332079
5,IRIS 313-9771,Tropical japonica,119.0,AUSTRIA,,False,-0.537141569529,-0.530281755221
6,IRIS 313-11482,Aus/boro,133.0,BANGLADESH,Resistant,False,0.043552019151,0.0434645711665
7,IRIS 313-11481,Aus/boro,118.0,BANGLADESH,Resistant,False,-0.578619683007,-0.571263635677
8,IRIS 313-11483,Aus/boro,107.0,BANGLADESH,Resistant,True,-1.03487893126,-1.0220643207
9,IRIS 313-11048,Aus/boro,98.0,BANGLADESH,Susceptible,True,-1.40818195255,-1.3909012448
10,IRIS 313-11049,Aus/boro,92.0,BANGLADESH,Resistant,True,-1.65705063341,-1.63679252754
11,IRIS 313-11050,Aus/boro,98.0,BANGLADESH,Resistant,True,-1.40818195255,-1.3909012448
12,IRIS 313-11051,Aus/boro,98.0,BANGLADESH,Resistant,True,-1.40818195255,-1.3909012448
13,IRIS 313-11052,Aus/boro,98.0,BANGLADESH,Susceptible,True,-1.40818195255,-1.3909012448
14,IRIS 313-11053,Aus/boro,98.0,BANGLADESH,Resistant,True,-1.40818195255,-1.3909012448
15,IRIS 313-11054,Aus/boro,98.0,BANGLADESH,Resistant,True,-1.40818195255,-1.3909012448
16,IRIS 313-11055,Aus/boro,98.0,BANGLADESH,Moderately resistant,True,-1.40818195255,-1.3909012448
17,IRIS 313-11056,Aus/boro,98.0,BANGLADESH,Resistant,True,-1.40818195255,-1.3909012448
18,IRIS 313-11057,Aus/boro,92.0,BANGLADESH,Resistant,True,-1.65705063341,-1.63679252754
19,IRIS 313-11058,Aus/boro,102.0,BANGLADESH,Resistant,True,-1.24226949864,-1.22697372298
20,IRIS 313-11059,Aus/boro,98.0,BANGLADESH,Resistant,True,-1.40818195255,-1.3909012448
21,IRIS 313-11060,Aus/boro,98.0,BANGLADESH,Susceptible,True,-1.40818195255,-1.3909012448
22,IRIS 313-8641,Aus/boro,102.0,BANGLADESH,Resistant,True,-1.24226949864,-1.22697372298
23,IRIS 313-11061,Aus/boro,98.0,BANGLADESH,Resistant,True,-1.40818195255,-1.3909012448
24,IRIS 313-11047,Aus/boro,98.0,BANGLADESH,Susceptible,True,-1.40818195255,-1.3909012448
25,IRIS 313-8963,Aus/boro,95.0,BANGLADESH,Resistant,True,-1.53261629298,-1.51384688617
26,IRIS 313-11123,Aus/boro,137.0,BANGLADESH,Resistant,False,0.20946447306,0.207392092992
27,IRIS 313-11124,Aus/boro,137.0,BANGLADESH,Resistant,False,0.20946447306,0.207392092992
28,IRIS 313-8321,Aus/boro,161.0,BANGLADESH,Susceptible,False,1.20493919651,1.19095722394
29,IRIS 313-11064,Aus/boro,92.0,BANGLADESH,Susceptible,True,-1.65705063341,-1.63679252754
30,IRIS 313-11065,Aus/boro,98.0,BANGLADESH,Susceptible,True,-1.40818195255,-1.3909012448
31,IRIS 313-11013,Aus/boro,92.0,BANGLADESH,Resistant,True,-1.65705063341,-1.63679252754
32,IRIS 313-11014,Aus/boro,98.0,BANGLADESH,Resistant,True,-1.40818195255,-1.3909012448
33,IRIS 313-9368,Aus/boro,98.0,BANGLADESH,,True,-1.40818195255,-1.3909012448
34,IRIS 313-9422,Aus/boro,95.0,BANGLADESH,Resistant,True,-1.53261629298,-1.51384688617
35,IRIS 313-10587,Aus/boro,123.0,BANGLADESH,Moderately resistant,False,-0.371229115621,-0.366354233396
36,IRIS 313-10598,Aus/boro,120.0,BANGLADESH,Moderately resistant,False,-0.495663456052,-0.489299874765
37,IRIS 313-11154,Aus/boro,114.0,BANGLADESH,Resistant,False,-0.744532136915,-0.735191157503
38,IRIS 313-10594,Aus/boro,120.0,BANGLADESH,Moderately resistant,False,-0.495663456052,-0.489299874765
39,IRIS 313-10593,Aus/boro,120.0,BANGLADESH,Resistant,False,-0.495663456052,-0.489299874765
40,IRIS 313-10592,Aus/boro,120.0,BANGLADESH,Moderately resistant,False,-0.495663456052,-0.489299874765
41,IRIS 313-10595,Aus/boro,120.0,BANGLADESH,Resistant,False,-0.495663456052,-0.489299874765
42,IRIS 313-10602,Aus/boro,121.0,BANGLADESH,Moderately susceptible,False,-0.454185342575,-0.448317994309
43,IRIS 313-10606,Aus/boro,121.0,BANGLADESH,Moderately resistant,False,-0.454185342575,-0.448317994309
44,IRIS 313-10604,Aus/boro,121.0,BANGLADESH,Moderately resistant,False,-0.454185342575,-0.448317994309
45,IRIS 313-10605,Aus/boro,121.0,BANGLADESH,Resistant,False,-0.454185342575,-0.448317994309
46,IRIS 313-11015,Aus/boro,98.0,BANGLADESH,Moderately resistant,True,-1.40818195255,-1.3909012448
47,IRIS 313-12141,Aus/boro,111.0,BANGLADESH,,False,-0.868966477347,-0.858136798871
48,IRIS 313-11112,Aus/boro,115.0,BANGLADESH,Susceptible,False,-0.703054023438,-0.694209277046
49,IRIS 313-8721,Aus/boro,122.0,BANGLADESH,,False,-0.412707229098,-0.407336113852
50,IRIS 313-8410,Aus/boro,114.0,BANGLADESH,,False,-0.744532136915,-0.735191157503
51,IRIS 313-8252,Aus/boro,102.0,BANGLADESH,Susceptible,True,-1.24226949864,-1.22697372298
52,IRIS 313-11322,Aus/boro,118.0,BANGLADESH,Resistant,False,-0.578619683007,-0.571263635677
53,IRIS 313-11323,Aus/boro,118.0,BANGLADESH,Susceptible,False,-0.578619683007,-0.571263635677
54,IRIS 313-10981,Aus/boro,105.0,BANGLADESH,,True,-1.11783515821,-1.10402808161
55,IRIS 313-11016,Aus/boro,112.0,BANGLADESH,Resistant,False,-0.82748836387,-0.817154918415
56,IRIS 313-11324,Aus/boro,104.0,BANGLADESH,Resistant,True,-1.15931327169,-1.14500996207
57,IRIS 313-9626,Aus/boro,107.0,BANGLADESH,Resistant,True,-1.03487893126,-1.0220643207
58,IRIS 313-11067,Aus/boro,98.0,BANGLADESH,Susceptible,True,-1.40818195255,-1.3909012448
59,IRIS 313-10963,Aus/boro,95.0,BANGLADESH,Resistant,True,-1.53261629298,-1.51384688617
60,IRIS 313-11216,Aus/boro,144.0,BANGLADESH,Resistant,False,0.4998112674,0.494265256185
61,IRIS 313-11116,Aus/boro,133.0,BANGLADESH,Resistant,False,0.043552019151,0.0434645711665
62,IRIS 313-8283,Aus/boro,131.0,BANGLADESH,,False,-0.0394042078033,-0.038499189746
63,IRIS 313-10976,Aus/boro,92.0,BANGLADESH,Resistant,True,-1.65705063341,-1.63679252754
64,IRIS 313-12055,Aus/boro,107.0,BANGLADESH,,True,-1.03487893126,-1.0220643207
65,IRIS 313-8789,Aus/boro,104.0,BANGLADESH,Resistant,True,-1.15931327169,-1.14500996207
