,Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,IRGC_Number,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Unnamed: 8,Genetic_Stock_Accno,Genetic_stock_Designation(varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,acc_date,acc_id_seed_donor_number,acc_id_seq_num,alkali_tolerance,altitude,apiculus_color,apiculus_color_post_harv,auricle_color,awn_color,awn_presence,bacterial_blight,basal_color,blade_color,blade_pub,blast,cold_tolerance,collar_color,collection_number,culm_angle,culm_diam,culm_length,culm_num,culm_strength,cultural_type,days_to_flower,days_to_head,days_to_mat,days_to_maturity,district,donor_country,drought_1,drought_2,drought_3,drought_4,drought_5,drought_6,drought_7,drought_8,drought_9,elogation,endosperm_color,endosperm_type,fao_in_trust,flag_leaf_angle,flat_leaf_angle,flood_tolerance,grain_len,grain_wid,internode_color,latitude,leaf_angle,leaf_length,leaf_senescence,leaf_texture,leaf_width,lemma_and_palea_color,lemma_and_palea_pub,lemma_color,lemma_color_at_anthesis,ligule_color,ligule_shape,lingule_pub,longitude,multilateral_system,node_color,panicle,panicle_axis,panicle_exerion,panicle_shattering,panicle_thesability,pedigree,previous_name,province,rice_blast,salt_tolerance,seat_coat_color,secondary_branching,seed_coat_color,seedling_height,sheath_blight,source_country,special_traits,species_name,spikelet_fertility,status,stigma_color,subpopulation,town,tungro_virus,varietal_group,variety_group_from_morph,variety_name,village,zinc_def_1
0,65,IRRI,IRIS 313-9783,BERENJ 1277 S::IRGC 3461-1-1,IRGC 3461,3461.0,BERENJ 1277 S,,AFGHANISTAN,Afghanistan,IRGC 121902,BERENJ 1277 S::IRGC 3461-1,,,,Japonica,,PI 223894,1.0,X,,X,X,Light green,010,070,,Green,Green,Pubescent,Susceptible,X,Green,,Erect (1),1,1,80,1,,X,,110,110,,UNITED STATES,5,3,X,5,X,9,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,9,X,9,2,7,33,,71-90 cm,9,,2,020,X,1,Weak(most plants nearly flat),Whitish,,Green,67,Yes,,1,020,1,X,5,,,,,X,010,X,Susceptible,Short (,Moderately resistant,AFGHANISTAN,,O. sativa,7,Landrace/Traditional cultivar,3,A,,0,Indica,,BERENJ 1277 S,,X
1,1632,IRRI,IRIS 313-10509,AMBARIKORI::IRGC 5132-1,IRGC 5132,5132.0,AMBARIKORI,,AFRICA,Africa,IRGC 127120,AMBARIKORI::IRGC 5132-1,,,,Indica,4/7/1962,,,X,,X,X,Light green,010,010,Susceptible,Green,Green,Pubescent,Resistant,X,Green,,Erect (1),1,2,134,1,,X,,164,164,,PHILIPPINES,5,5,X,6,7,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,9,X,8,2,1,-33,,131-150 cm,9,,3,054,X,2,Strong(no lodging),Whitish,,Green,26,Yes,,1,000,0,X,5,,,,Susceptible,X,010,X,Resistant,Intermediate (30-59 cm),,AFRICA,,O. sativa,3,,4,A,,93,Indica,,AMBARIKORI,,X
3,363,IRRI,IRIS 313-9778,GENIT::IRGC 3272-1-1,IRGC 3272,3272.0,GENIT,,ARGENTINA,Argentina,IRGC 125751,GENIT::IRGC 3272-1,66457214.0,60982350.0,12.7,Indica,,PI 238490,1.0,X,,X,X,Light green,010,010,,Green,Green,Pubescent,Susceptible,X,Green,,Erect (1),1,2,89,1,,X,,119,119,,UNITED STATES,1,3,X,5,X,9,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,X,9,X,8,3,1,-38,,111-130 cm,9,,3,020,X,2,Strong(no lodging),Whitish,,Green,-63,Yes,,1,000,0,X,1,,,,,X,070,X,Susceptible,Short (,,ARGENTINA,,O. sativa,5,Breeding and inbred line,3,A,,0,Indica,,GENIT,,X
8,659,IRRI,IRIS 313-9980,FORTUNA INIA::IRGC 55865-1-1,IRGC 55865,55865.0,FORTUNA INIA,,ARGENTINA,Argentina,IRGC 125741,FORTUNA INIA::IRGC 55865-1,58030858.0,58030858.0,12.0,Japonica,1/2/1980,,,X,,020,X,Light green,010,020,,Green,Dark green,Pubescent,,X,Light green,,Intermediate (3),1,1,80,5,,X,,110,110,,COLOMBIA,X,X,X,X,X,X,5,6,7,X,White,Non-glutinous(non-waxy),Yes,1,5,X,10,3,3,-38,Intermediate(3),71-90 cm,1,,2,020,5,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,-63,Yes,,1,000,0,1,5,,,,,X,010,2,,Short (,,ARGENTINA,,O. sativa,3,,3,A,,0,Indica,,FORTUNA INIA,,X
12,365,IRRI,IRIS 313-9795,HD 10::IRGC 6638-1-1,IRGC 6638,6638.0,HD10,,AUSTRALIA,Australia,IRGC 125759,HD 10::IRGC 6638-1,56277286.0,56277286.0,11.7,Indica,7/30/1962,,,X,,X,X,Light green,010,010,Susceptible,Green,Green,Pubescent,Moderately resistant,X,Green,,Erect (1),1,1,105,1,,X,,135,135,,AUSTRALIA,3,1,3,3,X,9,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,1,X,7,3,1,-31,,71-90 cm,9,,3,042,X,2,Strong(no lodging),Whitish,,Green,135,Yes,,1,000,0,X,5,NORIN 20/T.812 1844-B-1-3,,,Susceptible,X,010,X,Moderately resistant,Short (,,AUSTRALIA,,O. sativa,3,Breeding and inbred line,3,A,,0,Indica,,HD10,,X
18,617,IRRI,IRIS 313-9771,BERGREIS::IRGC 3150-1-1,IRGC 3150,3150.0,BERGREIS,,AUSTRIA,Austria,IRGC 126185,BERGREIS::IRGC 3150-1,,,,Tropical japonica,,PI 163336,1.0,X,,X,X,Light green,010,010,,Green,Dark green,Pubescent,Susceptible,X,Green,,Erect (1),2,1,89,5,,X,,119,119,,UNITED STATES,9,5,X,5,X,9,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,1,X,7,3,1,47,,71-90 cm,1,,2,020,X,1,Strong(no lodging),Whitish,,Green,13,Yes,,1,000,0,X,1,,,,,X,010,X,Susceptible,Short (,,AUSTRIA,,O. sativa,3,Breeding and inbred line,3,A,,0,Japonica,,BERGREIS,,X
19,941,IRRI,IRIS 313-11482,BONGEZA::IRGC 53483-1,IRGC 53483,53483.0,BONGEZA,,BANGLADESH,Bangladesh,IRGC 127234,BONGEZA::IRGC 53483-1,38725586.0,38725586.0,8.0,Aus/boro,11/22/1979,,,X,,020,X,Light green,010,020,Resistant,Green,Green,Pubescent,,X,Light green,113/79/079,Open (5),1,2,103,5,,X,,133,133,Faridpur,BANGLADESH,1,5,X,6,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,5,X,8,3,5,23,Erect(1),111-130 cm,1,,3,054,2,2,Intermediate(most plants moderately lodged),Whitish,2-Cleft,Green,90,Yes,,1,020,9,1,6,,,Dhaka,Resistant,X,070,2,,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Landrace/Traditional cultivar,3,A,Sadarpur,72,Indica,,BONGEZA,P.S. Rajbari,X
20,940,IRRI,IRIS 313-11481,BINNAFUL::IRGC 53479-1,IRGC 53479,53479.0,BINNAFUL,,BANGLADESH,Bangladesh,IRGC 127228,BINNAFUL::IRGC 53479-1,44527002.0,44527002.0,9.2,Aus/boro,11/22/1979,,,X,,020,X,Light green,080,070,Resistant,Light purple,Green,Pubescent,,X,Light green,113/79/PB067,Intermediate (3),1,1,88,3,,X,,118,118,Pabna,BANGLADESH,1,5,X,3,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,5,X,9,2,3,24,Erect(1),91-110 cm,1,,2,020,4,2,Moderately strong(most plants leaning),Purple lines,2-Cleft,Purple,89,Yes,,3,000,0,1,9,,,Rajshahi,Resistant,X,070,2,,Intermediate (30-59 cm),,BANGLADESH,,O. sativa,3,Landrace/Traditional cultivar,4,A,Charbonbaria,90,Indica,,BINNAFUL,P.S. Serajganj,X
21,942,IRRI,IRIS 313-11483,BOTESHSHORE::IRGC 53484-1,IRGC 53484,53484.0,BOTESHSHORE,,BANGLADESH,Bangladesh,IRGC 128244,BOTESHSHORE::IRGC 53484-1,81223584.0,81223584.0,16.9,Aus/boro,11/22/1979,,,X,,020,X,Light green,080,080,Resistant,Light purple,Purple margin,Pubescent,,X,Light green,113/79/073,Intermediate (3),1,1,77,3,,X,,107,107,Faridpur,BANGLADESH,1,7,X,5,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,5,X,8,3,3,23,Erect(1),71-90 cm,1,,1,020,2,2,Moderately strong(most plants leaning),Purple lines,2-Cleft,Purple,90,Yes,,1,000,0,1,7,,,Dhaka,Resistant,X,070,2,,Short (,,BANGLADESH,,O. sativa,5,Landrace/Traditional cultivar,2,A,Madra,0,Indica,,BOTESHSHORE,P.S. Madaripur,X
22,2096,IRRI,IRIS 313-11048,AUS 171::IRGC 29004-1,IRGC 29004,29004.0,AUS 171,,BANGLADESH,Bangladesh,IRGC 127178,AUS 171::IRGC 29004-1,,,,Aus/boro,10/15/1973,,,X,,080,X,Light green,080,080,Susceptible,Purple lines,Green,Pubescent,Susceptible,X,Green,,Spreading (7),1,2,68,3,,X,,98,98,,BANGLADESH,1,5,1,3,4,6,3,6,1,X,Red,Non-glutinous(non-waxy),Yes,X,1,9,8,3,7,23,,91-110 cm,1,,3,054,X,2,Weak(most plants nearly flat),Whitish,,Purple,90,Yes,,1,000,0,X,5,,,,Susceptible,X,070,X,Susceptible,Short (,Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,81,Indica,,AUS 171,,X
