,acc_date,acc_id_seed_donor_number,acc_id_seq_num,alkali_tolerance,altitude,apiculus_color,apiculus_color_post_harv,auricle_color,awn_color,awn_presence,bacterial_blight,basal_color,blade_color,blade_pub,blast,cold_tolerance,collar_color,collection_number,culm_angle,culm_diam,culm_length,culm_num,culm_strength,cultural_type,days_to_flower,days_to_head,days_to_mat,days_to_maturity,district,donor_country,drought_1,drought_2,drought_3,drought_4,drought_5,drought_6,drought_7,drought_8,drought_9,elogation,endosperm_color,endosperm_type,fao_in_trust,flag_leaf_angle,flat_leaf_angle,flood_tolerance,grain_len,grain_wid,internode_color,latitude,leaf_angle,leaf_length,leaf_senescence,leaf_texture,leaf_width,lemma_and_palea_color,lemma_and_palea_pub,lemma_color,lemma_color_at_anthesis,ligule_color,ligule_shape,lingule_pub,longitude,multilateral_system,node_color,panicle,panicle_axis,panicle_exerion,panicle_shattering,panicle_thesability,pedigree,previous_name,province,rice_blast,salt_tolerance,seat_coat_color,secondary_branching,seed_coat_color,seedling_height,sheath_blight,source_country,special_traits,species_name,spikelet_fertility,status,stigma_color,subpopulation,town,tungro_virus,varietal_group,variety_group_from_morph,variety_name,village,zinc_def_1
121902,12/1/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,AFGHANISTAN,,O. sativa,X,,X,A,,0,,,BERENJ 1277 S::IRGC 3461-1,,X
127120,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,UNKNOWN,,O. sativa,X,,X,A,,0,,,AMBARIKORI::IRGC 5132-1,,X
122208,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,ARGENTINA,,O. sativa,X,,X,A,,0,,,PRECOZ 2 F A::GERVEX 1182-C1,,X
125751,11/1/2009,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,ARGENTINA,,O. sativa,X,,X,A,,0,,,GENIT::IRGC 3272-1,,X
121947,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,ARGENTINA,,O. sativa,X,,X,A,,0,,,104 UPLA::GERVEX 167-C1,,X
121955,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,ARGENTINA,,O. sativa,X,,X,A,,0,,,77 UPLA::GERVEX 159-C1,,X
121956,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,ARGENTINA,,O. sativa,X,,X,A,,0,,,79 UPLA::GERVEX 154-C1,,X
121954,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,ARGENTINA,,O. sativa,X,,X,A,,0,,,75 UPLA::GERVEX 161-C1,,X
125741,11/1/2009,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,ARGENTINA,,O. sativa,X,,X,A,,0,,,FORTUNA INIA::IRGC 55865-1,,X
121948,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,ARGENTINA,,O. sativa,X,,X,A,,0,,,32 UPLA::GERVEX 176-C1,,X
121957,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,ARGENTINA,,O. sativa,X,,X,A,,0,,,80 UPLA::GERVEX 164-C1,,X
121958,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,ARGENTINA,,O. sativa,X,,X,A,,0,,,91 UPLA::GERVEX 155-C1,,X
125759,11/1/2009,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,AUSTRALIA,,O. sativa,X,,X,A,,0,,,HD 10::IRGC 6638-1,,X
122300,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,AUSTRALIA,,O. sativa,X,,X,A,,0,,,YRM 6-2::GERVEX 1508-C1,,X
122198,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,AUSTRALIA,,O. sativa,X,,X,A,,0,,,PELDE::GERVEX 502-C1,,X
122244,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,AUSTRALIA,,O. sativa,X,,X,A,,0,,,SELN 244 A 6-20::GERVEX 1273-C1,,X
122067,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,AUSTRALIA,,O. sativa,X,,X,A,,0,,,GOOLARAH::GERVEX 500-C1,,X
122078,1/28/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,AUSTRALIA,,O. sativa,X,,X,A,,0,,,HARRA::GERVEX 501-C1,,X
126185,5/1/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,AUSTRIA,,O. sativa,X,,X,A,,0,,,BERGREIS::IRGC 3150-1,,X
127234,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,BONGEZA::IRGC 53483-1,,X
127228,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,BINNAFUL::IRGC 53479-1,,X
