"Table S1A. Information for the 2,466 rice accessions from the International Rice Genebank Collection at the International Rice Research Institute.",,,,,,,,,,,,,,,
Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Genetic_Stock_Accno,Genetic_stock_Designation (varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,SRA Accession,
1,IRRI,IRIS 313-15896,FEDEARROZ 50::G1-1,,FEDEARROZ 50,,Colombia,ri,FEDEARROZ 50::G1,,,,Indica,ERS467753,
2,IRRI,IRIS 313-15897,SANHUANGZHAN NO 2::G1-1,,SANHUANGZHAN NO 2,,China,IRGC 126968,SANHUANGZHAN NO 2::G1,,,,Indica,ERS467754,
3,IRRI,IRIS 313-15898,IR 4630-22-2-5-1-3::G1-1,,IR 4630-22-2-5-1-3,,Philippines,IRGC 126962,IR 4630-22-2-5-1-3::G1,36986112,34267301,7.1,Indica,ERS467755,
4,IRRI,IRIS 313-15899,IR 45427-2B-2-2B-1-1::G1-1,,IR 45427-2B-2-2B-1-1,,Philippines,IRGC 126961,IR 45427-2B-2-2B-1-1::G1,36121416,36121416,7.5,Indica,ERS467756,
5,IRRI,IRIS 313-15900,IR 07F287::G1-1,,IR 84196-12-32(SAMBHA MAHSURI + SUB1),,Philippines,IRGC 126960,IR 07F287::G1,69632252,69632252,14.4,Indica,ERS467757,
6,IRRI,IRIS 313-15901,IR 77298-14-1-2-10::G1-1,,IR 77298-14-1-2-10,,Philippines,IRGC 126964,IR 77298-14-1-2-10::G1,43144400,43144400,9.0,Indica,ERS467758,
7,IRRI,IRIS 313-15902,IRRI 146::G1-1,,IR 77186-122-2-2-3,,Philippines,IRGC 126966,IRRI 146::G1,39802198,39802198,8.3,Indica,ERS467759,
8,IRRI,IRIS 313-15903,IAC 165::IRGC 82775-2-1,,IAC 165,,Brazil,,IAC 165::IRGC 82775-2,,,,Indica,ERS467760,
9,IRRI,IRIS 313-15904,JINBUBYEO::G1-1,,JINBUBYEO,,South Korea,IRGC 126967,JINBUBYEO::G1,52115946,52115946,10.8,Temperate japonica,ERS467761,
10,IRRI,IRIS 313-15905,WAB 56-125::G1-1,,WAB 56-125,,Ivory Coast,IRGC 126969,WAB 56-125::IRTP 19771-G1,,,,Tropical japonica,ERS467762,
11,IRRI,IRIS 313-15906,IR 73571-3B-11-3-K2::G1-1,,IR 73571-3B-11-3-K2,,Philippines,IRGC 126963,IR 73571-3B-11-3-K2::G1,40185026,40185026,8.3,Indica,ERS467763,
12,IRRI,IRIS 313-15907,INIA TACUARI::G1-1,,INIA TACUARI,,Uruguay,IRGC 126959,INIA TACUARI::G1,39550744,39550744,8.2,Tropical japonica,ERS467764,
13,IRRI,IRIS 313-15908,COLOMBIA XXI::G1-1,,COLOMBIA XXI,,Colombia,IRGC 126955,COLOMBIA XXI::G1,132393262,102159725,21.2,Basmati/sadri,ERS467765,
14,IRRI,IRIS 313-15909,IET 14720::IRTP 23179-G1-1,,IET 14720,,,IRGC 126958,IET 14720::IRTP 23179-G1,43151544,43151544,9.0,Tropical japonica,ERS467766,
15,IRRI,IRIS 313-15910,CYPRESS::G1-1,,CYPRESS,,United States,IRGC 126956,CYPRESS::IRTP 19532-G1,,,,Intermediate type,ERS467767,
16,IRRI,IRIS 313-9939,CIWINI SML::IRGC 50642-1-1,IRGC 50642,CIWINI SML,,Suriname,IRGC 121316,CIWINI SML::IRGC 50642-1,,,,Basmati/sadri,ERS467768,
17,IRRI,IRIS 313-8712,ARC 13829::IRGC 42469-1-1,IRGC 42469,ARC 13829,,India,IRGC 117426,ARC 13829,,,,Basmati/sadri,ERS467769,
18,IRRI,IRIS 313-8747,DOM ZARD::IRGC 12881-1-1,IRGC 12881,DOM-ZARD,,Iran,IRGC 117466,DOM ZARD,,,,Basmati/sadri,ERS467770,
19,IRRI,IRIS 313-8813,ARC 10497::IRGC 12485-1-1,IRGC 12485,ARC 10497,,India,IRGC 117425,ARC 10497,,,,Basmati/sadri,ERS467771,
20,IRRI,IRIS 313-8814,SHANKA::IRGC 67848-1-1,IRGC 67848,SHANKA,,Bhutan,IRGC 121499,SHANKA::IRGC 67848-1,,,,Basmati/sadri,ERS467772,
21,IRRI,IRIS 313-9629,JC 157::IRGC 9074-1-1,IRGC 9074,JC157,,India,IRGC 117498,JC 157,,,,Aus/boro,ERS467773,
22,IRRI,IRIS 313-8252,JAGLI BORO::IRGC 27516-1-1,IRGC 27516,JAGLI BORO,,Bangladesh,IRGC 121233,JAGLI BORO::IRGC 27516-2,,,,Aus/boro,ERS467774,
23,IRRI,IRIS 313-8321,BHADOIA 303::IRGC 6588-1-1,IRGC 6588,BHADOIA 303,,Bangladesh,IRGC 120894,BHADOIA 303::IRGC 6588-1,,,,Aus/boro,ERS467775,
24,IRRI,IRIS 313-8390,SUFAID 246::IRGC 28303-1-1,IRGC 28303,SUFAID 246,,Pakistan,IRGC 121128,SUFAID 246::IRGC 28303-1,,,,Aus/boro,ERS467776,
25,IRRI,IRIS 313-8398,KHARSU 80::IRGC 28016-1-1,IRGC 28016,KHARSU 80,,Pakistan,IRGC 121022,KHARSU 80::IRGC 28016-1,,,,Aus/boro,ERS467777,
26,IRRI,IRIS 313-8410,JABOR SAIL::IRGC 66831-1-1,IRGC 66831,JABOR SAIL,,Bangladesh,IRGC 121618,JABOR SAIL::IRGC 66831-1,,,,Aus/boro,ERS467778,
27,IRRI,IRIS 313-8554,ARC 11959::IRGC 21780-1-1,IRGC 21780,ARC 11959,,India,IRGC 121188,ARC 11959::IRGC 21780-1,,,,Aus/boro,ERS467779,
